sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN20301,2025-01-01 00:00:00+00:00,max(surface_air_pressure P1D),979.2,hPa,10.2478,60.1665
SN24890,2025-01-01 00:00:00+00:00,max(surface_air_pressure P1D),978.4,hPa,9.1323323,60.5669244
SN23410,2025-01-01 00:00:00+00:00,max(surface_air_pressure P1D),897.9,hPa,9.3014123,61.00279
SN32060,2025-01-01 00:00:00+00:00,max(surface_air_pressure P1D),985.0,hPa,9.2128,59.3822
SN25110,2025-01-01 00:00:00+00:00,max(surface_air_pressure P1D),923.5,hPa,8.5929429,60.8548588
SN25112,2025-01-01 00:00:00+00:00,max(surface_air_pressure P1D),900.8,hPa,8.5175,60.8705
SN31970,2025-01-01 00:00:00+00:00,max(surface_air_pressure P1D),958.2822208348618,hPa,8.6562,59.8497
SN28380,2025-01-01 00:00:00+00:00,max(surface_air_pressure P1D),975.2,hPa,9.6377,59.6247
SN28922,2025-01-01 00:00:00+00:00,max(surface_air_pressure P1D),963.6,hPa,9.1468,60.0435
SN23420,2025-01-01 00:00:00+00:00,max(surface_air_pressure P1D),953.1,hPa,9.224,60.9785
SN29720,2025-01-01 00:00:00+00:00,max(surface_air_pressure P1D),901.9,hPa,8.5263,60.4188
SN30650,2025-01-01 00:00:00+00:00,max(surface_air_pressure P1D),994.9,hPa,9.2111,59.5666
SN25110,2025-01-02 00:00:00+00:00,max(surface_air_pressure P1D),925.8,hPa,8.5929429,60.8548588
SN20301,2025-01-02 00:00:00+00:00,max(surface_air_pressure P1D),982.8,hPa,10.2478,60.1665
SN24890,2025-01-02 00:00:00+00:00,max(surface_air_pressure P1D),980.2,hPa,9.1323323,60.5669244
SN23410,2025-01-02 00:00:00+00:00,max(surface_air_pressure P1D),900.0,hPa,9.3014123,61.00279
SN32060,2025-01-02 00:00:00+00:00,max(surface_air_pressure P1D),990.5,hPa,9.2128,59.3822
SN30650,2025-01-02 00:00:00+00:00,max(surface_air_pressure P1D),1000.2,hPa,9.2111,59.5666
SN23420,2025-01-02 00:00:00+00:00,max(surface_air_pressure P1D),954.4,hPa,9.224,60.9785
