sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN18450,2025-01-01 06:00:00+00:00,sum(precipitation_amount P1D),5.3,mm,10.7894,59.9719
SN18810,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),1.7,mm,10.6815,59.9118
SN18703,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),1.0,mm,10.7194,59.94256
SN18440,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),1.4,mm,10.77564,59.95995
SN18700,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),3.4,mm,10.72,59.9423
SN18405,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),1.1,mm,10.7727,59.9398
SN18317,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),0.5,mm,10.7528,59.9188
SN18420,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),1.2,mm,10.7903,59.946
SN18390,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),1.1,mm,10.7483,59.9418
SN18701,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),0.8,mm,10.7202,59.9423
SN18205,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),0.8,mm,10.7902,59.9287
SN18920,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),1.0,mm,10.671,59.9573
SN18970,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),0.6,mm,10.6348,59.9185
SN18950,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),5.7,mm,10.6692319,59.9847986
SN18310,2025-01-01 18:00:00+00:00,sum(precipitation_amount P1D),0.7,mm,10.7747,59.9147
SN18450,2025-01-02 06:00:00+00:00,sum(precipitation_amount P1D),0.2,mm,10.7894,59.9719
SN18950,2025-01-02 18:00:00+00:00,sum(precipitation_amount P1D),0.0,mm,10.6692319,59.9847986
SN18703,2025-01-02 18:00:00+00:00,sum(precipitation_amount P1D),0.0,mm,10.7194,59.94256
SN18205,2025-01-02 18:00:00+00:00,sum(precipitation_amount P1D),0.0,mm,10.7902,59.9287
