sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN38150,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.1,degC,8.462,58.29683
SN38250,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-2.2,degC,8.1865,58.1995
SN39450,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.6,degC,7.8125,58.3085
SN39520,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.3,degC,7.77717,58.49083
SN39970,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-1.1,degC,7.8298,58.111
SN39212,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-1.7,degC,7.93967,58.14117
SN41005,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),0.8,degC,7.62017,58.086
SN39100,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),2.2,degC,8.0532,58.0732
SN39040,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),0.2,degC,8.0767,58.2
SN39150,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),1.3,degC,8.052,58.1502
SN38150,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-5.5,degC,8.462,58.29683
SN38250,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-6.2,degC,8.1865,58.1995
SN39970,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-5.1,degC,7.8298,58.111
SN41005,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-4.9,degC,7.62017,58.086
SN39212,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-4.0,degC,7.93967,58.14117
SN39450,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-7.3,degC,7.8125,58.3085
SN39520,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-12.5,degC,7.77717,58.49083
SN39150,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-2.1,degC,8.052,58.1502
SN39100,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-1.9,degC,8.0532,58.0732
SN39040,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-3.5,degC,8.0767,58.2
SN41005,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-4.1,degC,7.62017,58.086
SN39212,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-3.7,degC,7.93967,58.14117
SN39450,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-6.6,degC,7.8125,58.3085
SN39970,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-4.2,degC,7.8298,58.111
SN39520,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-8.6,degC,7.77717,58.49083
SN38150,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-5.1,degC,8.462,58.29683
SN38250,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-5.5,degC,8.1865,58.1995
