sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN22690,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-8.1,degC,9.89533,60.632
SN22890,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-11.0,degC,9.545,60.86433
SN22990,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-9.6,degC,9.3343,60.9532
SN24820,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-7.6,degC,9.15483,60.5325
SN23300,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-14.7,degC,9.1185,60.8175
SN23500,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-8.5,degC,9.063,61.122
SN23410,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-10.0,degC,9.3014123,61.00279
SN23420,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-7.1,degC,9.224,60.9785
SN24890,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-8.1,degC,9.1323323,60.5669244
SN22890,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-10.7,degC,9.545,60.86433
SN22990,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-12.3,degC,9.3343,60.9532
SN23300,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-14.6,degC,9.1185,60.8175
SN22690,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-16.8,degC,9.89533,60.632
SN24820,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-16.5,degC,9.15483,60.5325
SN24890,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-11.2,degC,9.1323323,60.5669244
SN23500,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-14.3,degC,9.063,61.122
SN23410,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-13.9,degC,9.3014123,61.00279
SN23420,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-14.2,degC,9.224,60.9785
SN22990,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-8.6,degC,9.3343,60.9532
SN22690,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-11.6,degC,9.89533,60.632
SN22890,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-10.9,degC,9.545,60.86433
SN23300,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-14.4,degC,9.1185,60.8175
SN24820,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-10.0,degC,9.15483,60.5325
SN24890,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-16.0,degC,9.1323323,60.5669244
SN23500,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-9.2,degC,9.063,61.122
SN23420,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-16.9,degC,9.224,60.9785
SN23410,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-10.3,degC,9.3014123,61.00279
SN22890,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-9.7,degC,9.545,60.86433
SN23300,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-15.6,degC,9.1185,60.8175
SN24820,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-16.7,degC,9.15483,60.5325
SN22690,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-19.9,degC,9.89533,60.632
SN22990,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-11.0,degC,9.3343,60.9532
