sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN60247,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-9.5,degC,6.72883,62.028
SN69661,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-9.3,degC,6.4187,62.0385
SN59850,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-2.5,degC,6.011491,62.275183
SN60860,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-2.8,degC,6.32717,62.4135
SN61070,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-10.5,degC,6.949,62.5325
SN60880,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-4.0,degC,6.47233,62.48367
SN61025,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-1.3,degC,6.25367,62.59467
SN60225,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-11.3,degC,6.79283,62.2915
SN58960,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-6.2,degC,6.6502,62.0033
SN60850,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-3.9,degC,6.4325,62.4317
SN60990,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-0.4,degC,6.115,62.5617
SN60945,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.6,degC,6.2108,62.4703
SN60890,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.4,degC,6.4013,62.4654
SN61060,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.2,degC,6.7552,62.6512
SN60190,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-10.7,degC,6.849,62.3065
SN60875,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.5,degC,6.4797,62.4848
SN62480,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),1.0,degC,6.5378,62.8585
SN60800,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-4.2,degC,6.8167,62.4775
SN60810,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-7.1,degC,6.8717,62.5158
SN59695,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-7.2,degC,6.2877,62.16
SN60242,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-10.9,degC,6.9869,62.1883
SN59680,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-7.1,degC,6.078056927162791,62.180413205637954
SN69661,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-4.5,degC,6.4187,62.0385
SN61070,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-5.6,degC,6.949,62.5325
SN60247,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-7.0,degC,6.72883,62.028
SN60860,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-1.5,degC,6.32717,62.4135
SN59850,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-2.2,degC,6.011491,62.275183
SN61025,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-1.9,degC,6.25367,62.59467
SN60880,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-2.8,degC,6.47233,62.48367
SN60225,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-7.0,degC,6.79283,62.2915
SN60242,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-10.6,degC,6.9869,62.1883
SN62480,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),0.0,degC,6.5378,62.8585
SN59695,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-8.3,degC,6.2877,62.16
SN60945,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-3.0,degC,6.2108,62.4703
SN58960,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-9.6,degC,6.6502,62.0033
SN61060,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-2.8,degC,6.7552,62.6512
