sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN78170,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-4.7,degC,13.58217,66.053
SN80050,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.7,degC,13.28817,66.28617
SN80730,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),0.0,degC,13.6675,66.8815
SN79215,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-2.4,degC,13.8728,66.2298
SN80615,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-11.2,degC,13.9298,66.6432
SN80707,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-7.2,degC,13.9067,66.8303
SN79220,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.5,degC,13.904,66.2348
SN80700,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-0.9,degC,13.9793,66.8102
SN80740,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-0.1,degC,13.646,66.9035
SN80200,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.6,degC,13.1848,66.3892
SN78360,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-4.0,degC,13.5867,66.1317
SN80705,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-5.2,degC,13.948,66.8275
SN78170,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-5.8,degC,13.58217,66.053
SN79215,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-3.9,degC,13.8728,66.2298
SN80050,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-5.8,degC,13.28817,66.28617
SN80730,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-1.8,degC,13.6675,66.8815
SN80740,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-0.6,degC,13.646,66.9035
SN80615,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-11.1,degC,13.9298,66.6432
SN79220,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-2.4,degC,13.904,66.2348
SN78360,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-3.5,degC,13.5867,66.1317
SN80200,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-1.6,degC,13.1848,66.3892
SN80700,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-1.3,degC,13.9793,66.8102
SN80705,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-5.3,degC,13.948,66.8275
SN80707,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-7.4,degC,13.9067,66.8303
SN80730,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-2.3,degC,13.6675,66.8815
SN79215,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-8.5,degC,13.8728,66.2298
SN80050,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-6.6,degC,13.28817,66.28617
SN78170,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-12.2,degC,13.58217,66.053
SN78360,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-7.8,degC,13.5867,66.1317
SN80740,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-3.7,degC,13.646,66.9035
SN80200,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-4.3,degC,13.1848,66.3892
SN80700,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-4.2,degC,13.9793,66.8102
SN80707,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-10.3,degC,13.9067,66.8303
SN79220,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-4.7,degC,13.904,66.2348
SN80615,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-14.5,degC,13.9298,66.6432
SN80705,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-8.4,degC,13.948,66.8275
SN79215,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-2.1,degC,13.8728,66.2298
SN80050,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-3.5,degC,13.28817,66.28617
SN80730,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-1.0,degC,13.6675,66.8815
SN78170,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-3.7,degC,13.58217,66.053
SN80615,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-11.9,degC,13.9298,66.6432
SN80705,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-6.4,degC,13.948,66.8275
SN80700,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-1.9,degC,13.9793,66.8102
SN80200,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-2.6,degC,13.1848,66.3892
SN79220,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-5.2,degC,13.904,66.2348
SN78360,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-7.2,degC,13.5867,66.1317
SN80707,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-7.7,degC,13.9067,66.8303
SN80740,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-1.3,degC,13.646,66.9035
SN80050,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-4.5,degC,13.28817,66.28617
SN79215,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-3.9,degC,13.8728,66.2298
SN78170,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-5.6,degC,13.58217,66.053
SN80730,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-3.5,degC,13.6675,66.8815
SN80707,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-6.7,degC,13.9067,66.8303
SN79220,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-1.9,degC,13.904,66.2348
SN78360,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-3.0,degC,13.5867,66.1317
SN80615,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-10.8,degC,13.9298,66.6432
SN80705,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-5.4,degC,13.948,66.8275
SN80740,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-1.3,degC,13.646,66.9035
SN80200,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-2.0,degC,13.1848,66.3892
SN80700,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-1.8,degC,13.9793,66.8102
SN80050,2025-01-06 00:00:00+00:00,mean(air_temperature P1D),-7.8,degC,13.28817,66.28617
SN78170,2025-01-06 00:00:00+00:00,mean(air_temperature P1D),-9.7,degC,13.58217,66.053
SN80730,2025-01-06 00:00:00+00:00,mean(air_temperature P1D),-7.2,degC,13.6675,66.8815
SN79215,2025-01-06 00:00:00+00:00,mean(air_temperature P1D),-11.2,degC,13.8728,66.2298
SN78360,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-5.7,degC,13.5867,66.1317
SN80740,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-7.3,degC,13.646,66.9035
SN80707,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-8.0,degC,13.9067,66.8303
SN80700,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-5.1,degC,13.9793,66.8102
SN80615,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-13.4,degC,13.9298,66.6432
SN80200,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-4.4,degC,13.1848,66.3892
SN80705,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-8.7,degC,13.948,66.8275
SN79220,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-5.2,degC,13.904,66.2348
SN80050,2025-01-07 00:00:00+00:00,mean(air_temperature P1D),-10.1,degC,13.28817,66.28617
SN78170,2025-01-07 00:00:00+00:00,mean(air_temperature P1D),-9.0,degC,13.58217,66.053
SN80730,2025-01-07 00:00:00+00:00,mean(air_temperature P1D),-3.9,degC,13.6675,66.8815
SN79215,2025-01-07 00:00:00+00:00,mean(air_temperature P1D),-6.8,degC,13.8728,66.2298
SN79220,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-11.9,degC,13.904,66.2348
SN80615,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-14.8,degC,13.9298,66.6432
SN78360,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-11.8,degC,13.5867,66.1317
SN80740,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-10.2,degC,13.646,66.9035
SN80700,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-5.4,degC,13.9793,66.8102
SN80705,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-9.7,degC,13.948,66.8275
SN80200,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-6.9,degC,13.1848,66.3892
SN80707,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-9.4,degC,13.9067,66.8303
SN80050,2025-01-08 00:00:00+00:00,mean(air_temperature P1D),-9.6,degC,13.28817,66.28617
SN79215,2025-01-08 00:00:00+00:00,mean(air_temperature P1D),-6.6,degC,13.8728,66.2298
SN80730,2025-01-08 00:00:00+00:00,mean(air_temperature P1D),-4.3,degC,13.6675,66.8815
SN78170,2025-01-08 00:00:00+00:00,mean(air_temperature P1D),-7.5,degC,13.58217,66.053
SN80740,2025-01-08 06:00:00+00:00,mean(air_temperature P1D),-3.8,degC,13.646,66.9035
SN80700,2025-01-08 06:00:00+00:00,mean(air_temperature P1D),-4.8,degC,13.9793,66.8102
SN78360,2025-01-08 06:00:00+00:00,mean(air_temperature P1D),-8.4,degC,13.5867,66.1317
SN80705,2025-01-08 06:00:00+00:00,mean(air_temperature P1D),-10.6,degC,13.948,66.8275
SN80707,2025-01-08 06:00:00+00:00,mean(air_temperature P1D),-12.1,degC,13.9067,66.8303
SN80615,2025-01-08 06:00:00+00:00,mean(air_temperature P1D),-15.4,degC,13.9298,66.6432
SN80200,2025-01-08 06:00:00+00:00,mean(air_temperature P1D),-5.0,degC,13.1848,66.3892
SN79220,2025-01-08 06:00:00+00:00,mean(air_temperature P1D),-6.9,degC,13.904,66.2348
SN78170,2025-01-09 00:00:00+00:00,mean(air_temperature P1D),-7.4,degC,13.58217,66.053
SN80730,2025-01-09 00:00:00+00:00,mean(air_temperature P1D),-3.5,degC,13.6675,66.8815
SN79215,2025-01-09 00:00:00+00:00,mean(air_temperature P1D),-5.6,degC,13.8728,66.2298
SN80050,2025-01-09 00:00:00+00:00,mean(air_temperature P1D),-6.8,degC,13.28817,66.28617
