sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN18410,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-5.4,degC,10.798,59.941
SN18690,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.8,degC,10.70433,59.91117
SN18810,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.4,degC,10.6815,59.9118
SN18950,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-6.0,degC,10.6692319,59.9847986
SN18700,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.8,degC,10.72,59.9423
SN18690,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-5.8,degC,10.70433,59.91117
SN18410,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-7.0,degC,10.798,59.941
SN18700,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-5.6,degC,10.72,59.9423
SN18810,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-4.6,degC,10.6815,59.9118
SN18950,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-8.4,degC,10.6692319,59.9847986
SN18410,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-6.4,degC,10.798,59.941
SN18690,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-5.0,degC,10.70433,59.91117
SN18810,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-7.3,degC,10.6815,59.9118
SN18700,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-6.8,degC,10.72,59.9423
SN18950,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-7.6,degC,10.6692319,59.9847986
SN18410,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-10.0,degC,10.798,59.941
SN18690,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-9.6,degC,10.70433,59.91117
SN18950,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-7.6,degC,10.6692319,59.9847986
SN18700,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-7.8,degC,10.72,59.9423
SN18810,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-7.8,degC,10.6815,59.9118
SN18410,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-11.6,degC,10.798,59.941
SN18690,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-9.6,degC,10.70433,59.91117
SN18810,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-11.7,degC,10.6815,59.9118
SN18700,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-11.3,degC,10.72,59.9423
SN18950,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-7.1,degC,10.6692319,59.9847986
SN18410,2025-01-06 00:00:00+00:00,mean(air_temperature P1D),-4.8,degC,10.798,59.941
SN18690,2025-01-06 00:00:00+00:00,mean(air_temperature P1D),-3.3,degC,10.70433,59.91117
SN18810,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-8.4,degC,10.6815,59.9118
SN18700,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-8.3,degC,10.72,59.9423
