sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN43490,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),1.4,degC,6.3257,58.5337
SN43895,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),2.9,degC,5.6815,58.5505
SN44710,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),2.4,degC,5.7183,58.8842
SN44780,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),1.5,degC,5.96217,58.86417
SN43530,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),2.7,degC,6.07617,58.56033
SN44567,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),2.2,degC,5.6545,58.9908
SN44970,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),2.0,degC,6.243,58.80767
SN44563,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),2.4,degC,5.61467,58.96217
SN43520,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-0.6,degC,6.48667,58.6265
SN44485,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),1.1,degC,5.9877,58.6833
SN44545,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),2.4,degC,5.64683,58.858
SN44080,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),5.1,degC,5.5553,58.6592
SN44560,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),4.9,degC,5.637,58.8843
SN44300,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),4.3,degC,5.6508,58.7605
SN44640,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),4.5,degC,5.7278,58.9563
SN44730,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),4.5,degC,5.7592,58.8662
SN44190,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),5.2,degC,5.7262,58.7345
SN44780,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-3.5,degC,5.96217,58.86417
SN44485,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-4.4,degC,5.9877,58.6833
SN43530,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-3.2,degC,6.07617,58.56033
SN43895,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-1.6,degC,5.6815,58.5505
SN44545,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-2.0,degC,5.64683,58.858
SN44710,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-2.3,degC,5.7183,58.8842
SN44567,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-1.8,degC,5.6545,58.9908
SN43490,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-2.9,degC,6.3257,58.5337
SN43520,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-6.3,degC,6.48667,58.6265
SN44563,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-1.7,degC,5.61467,58.96217
SN44970,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-2.9,degC,6.243,58.80767
SN44560,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-0.1,degC,5.637,58.8843
SN44080,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),0.4,degC,5.5553,58.6592
SN44300,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-0.5,degC,5.6508,58.7605
SN44730,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-0.2,degC,5.7592,58.8662
SN44190,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-0.1,degC,5.7262,58.7345
SN44640,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-0.5,degC,5.7278,58.9563
SN43490,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-3.1,degC,6.3257,58.5337
SN43895,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-2.7,degC,5.6815,58.5505
SN44970,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-3.6,degC,6.243,58.80767
SN44485,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-5.2,degC,5.9877,58.6833
SN44780,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-4.4,degC,5.96217,58.86417
SN43520,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-4.9,degC,6.48667,58.6265
SN43530,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-4.0,degC,6.07617,58.56033
SN44710,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-3.3,degC,5.7183,58.8842
SN44563,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-2.3,degC,5.61467,58.96217
SN44545,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-3.0,degC,5.64683,58.858
SN44567,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-2.1,degC,5.6545,58.9908
SN44730,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-1.7,degC,5.7592,58.8662
SN44080,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-1.0,degC,5.5553,58.6592
SN44560,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-1.4,degC,5.637,58.8843
SN44190,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-1.7,degC,5.7262,58.7345
SN44300,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-2.3,degC,5.6508,58.7605
SN44640,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-2.3,degC,5.7278,58.9563
SN44567,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-1.7,degC,5.6545,58.9908
SN44545,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-2.1,degC,5.64683,58.858
SN44563,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-1.4,degC,5.61467,58.96217
SN44710,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-2.1,degC,5.7183,58.8842
SN44485,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-5.1,degC,5.9877,58.6833
SN43530,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-5.5,degC,6.07617,58.56033
SN43490,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-5.4,degC,6.3257,58.5337
SN43520,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-9.3,degC,6.48667,58.6265
SN44970,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-3.1,degC,6.243,58.80767
