sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN91460,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-12.9,degC,20.75033,69.18183
SN91480,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-19.9,degC,20.7468,69.1467
SN91490,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-13.4,degC,20.7455,69.1185
SN91505,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-4.2,degC,20.39883,69.585
SN91675,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.9,degC,20.506,69.7537
SN91530,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-11.4,degC,20.5787,69.4818
SN91502,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-6.8,degC,20.4108,69.5543
SN91380,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-4.3,degC,20.2823,69.3875
SN91740,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.5,degC,20.9524,69.7902
SN91180,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.5,degC,20.1387,69.8915
SN91251,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.2,degC,20.5268,69.4722
SN91120,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-6.8,degC,20.1518,69.5598
SN91430,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-7.5,degC,20.5795,69.2235
SN91551,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-4.3,degC,20.8693,69.4802
SN91150,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.2,degC,20.0930685,69.5887
SN91130,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-7.2,degC,20.094,69.5588
SN91460,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-15.8,degC,20.75033,69.18183
SN91675,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-5.6,degC,20.506,69.7537
SN91490,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-17.3,degC,20.7455,69.1185
SN91480,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-9.04310998233682,degC,20.7468,69.1467
SN91505,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-6.5,degC,20.39883,69.585
SN91430,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-12.2,degC,20.5795,69.2235
SN91251,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-8.7,degC,20.5268,69.4722
SN91130,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-9.4,degC,20.094,69.5588
SN91150,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-5.5,degC,20.0930685,69.5887
SN91530,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-13.4,degC,20.5787,69.4818
SN91120,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-9.3,degC,20.1518,69.5598
SN91502,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-9.6,degC,20.4108,69.5543
SN91380,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-12.9,degC,20.2823,69.3875
SN91551,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-7.8,degC,20.8693,69.4802
SN91740,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-6.2,degC,20.9524,69.7902
SN91180,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-4.6,degC,20.1387,69.8915
SN91675,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-4.1,degC,20.506,69.7537
SN91480,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-22.1,degC,20.7468,69.1467
SN91490,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-15.6,degC,20.7455,69.1185
SN91460,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-13.3,degC,20.75033,69.18183
SN91505,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-3.3,degC,20.39883,69.585
SN91530,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-13.8,degC,20.5787,69.4818
SN91430,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-14.3,degC,20.5795,69.2235
SN91150,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-6.4,degC,20.0930685,69.5887
SN91551,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-9.5,degC,20.8693,69.4802
SN91251,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-10.2,degC,20.5268,69.4722
SN91130,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-9.8,degC,20.094,69.5588
SN91502,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-9.5,degC,20.4108,69.5543
SN91740,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-7.9,degC,20.9524,69.7902
SN91180,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-5.0,degC,20.1387,69.8915
SN91120,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-8.5,degC,20.1518,69.5598
SN91380,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-13.5,degC,20.2823,69.3875
SN91460,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-17.2,degC,20.75033,69.18183
SN91490,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-20.4,degC,20.7455,69.1185
SN91480,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-8.52644185189675,degC,20.7468,69.1467
SN91505,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-7.1,degC,20.39883,69.585
SN91675,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-6.5,degC,20.506,69.7537
SN91551,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-10.0,degC,20.8693,69.4802
SN91380,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-11.6,degC,20.2823,69.3875
SN91180,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-3.6,degC,20.1387,69.8915
SN91740,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-8.0,degC,20.9524,69.7902
SN91120,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-7.8,degC,20.1518,69.5598
SN91502,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-7.8,degC,20.4108,69.5543
SN91251,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-10.0,degC,20.5268,69.4722
SN91150,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-6.0,degC,20.0930685,69.5887
SN91430,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-13.2,degC,20.5795,69.2235
SN91530,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-12.6,degC,20.5787,69.4818
SN91130,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-11.1,degC,20.094,69.5588
SN91480,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-8.268107786676717,degC,20.7468,69.1467
SN91505,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-7.3,degC,20.39883,69.585
SN91675,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-6.7,degC,20.506,69.7537
SN91460,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-15.5,degC,20.75033,69.18183
SN91490,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-17.2,degC,20.7455,69.1185
SN91551,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-10.2,degC,20.8693,69.4802
SN91251,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-15.5,degC,20.5268,69.4722
SN91130,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-11.6,degC,20.094,69.5588
SN91380,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-15.5,degC,20.2823,69.3875
SN91740,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-12.5,degC,20.9524,69.7902
SN91180,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-6.4,degC,20.1387,69.8915
SN91120,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-8.2,degC,20.1518,69.5598
SN91150,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-7.8,degC,20.0930685,69.5887
SN91502,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-8.6,degC,20.4108,69.5543
SN91430,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-15.6,degC,20.5795,69.2235
SN91530,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-13.7,degC,20.5787,69.4818
SN91460,2025-01-06 00:00:00+00:00,mean(air_temperature P1D),-10.6,degC,20.75033,69.18183
SN91675,2025-01-06 00:00:00+00:00,mean(air_temperature P1D),-4.6,degC,20.506,69.7537
SN91490,2025-01-06 00:00:00+00:00,mean(air_temperature P1D),-12.3,degC,20.7455,69.1185
SN91505,2025-01-06 00:00:00+00:00,mean(air_temperature P1D),-5.2,degC,20.39883,69.585
SN91551,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-8.8,degC,20.8693,69.4802
SN91120,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-7.1,degC,20.1518,69.5598
SN91740,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-10.6,degC,20.9524,69.7902
SN91180,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-6.4,degC,20.1387,69.8915
SN91380,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-13.6,degC,20.2823,69.3875
SN91430,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-12.1,degC,20.5795,69.2235
SN91502,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-7.5,degC,20.4108,69.5543
SN91530,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-11.9,degC,20.5787,69.4818
SN91251,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-10.6,degC,20.5268,69.4722
SN91130,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-9.4,degC,20.094,69.5588
SN91150,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-8.2,degC,20.0930685,69.5887
SN91490,2025-01-07 00:00:00+00:00,mean(air_temperature P1D),-13.5,degC,20.7455,69.1185
SN91675,2025-01-07 00:00:00+00:00,mean(air_temperature P1D),-7.6,degC,20.506,69.7537
SN91460,2025-01-07 00:00:00+00:00,mean(air_temperature P1D),-11.3,degC,20.75033,69.18183
SN91480,2025-01-07 00:00:00+00:00,mean(air_temperature P1D),-16.2,degC,20.7468,69.1467
SN91505,2025-01-07 00:00:00+00:00,mean(air_temperature P1D),-6.3,degC,20.39883,69.585
SN91740,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-8.3,degC,20.9524,69.7902
SN91130,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-11.0,degC,20.094,69.5588
SN91251,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-10.9,degC,20.5268,69.4722
SN91150,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-6.9,degC,20.0930685,69.5887
SN91180,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-5.7,degC,20.1387,69.8915
SN91120,2025-01-07 06:00:00+00:00,mean(air_temperature P1D),-8.4,degC,20.1518,69.5598
