sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN69035,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-7.7,degC,10.664,63.4262
SN67153,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-12.4,degC,10.2438,63.3237
SN68238,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-11.7,degC,10.3706,63.34835
SN68175,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-10.9,degC,10.4388,63.4078
SN67175,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-12.4,degC,10.2832,63.2583
SN68053,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-8.7,degC,10.453122,63.4427521
SN71230,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-9.7,degC,10.73033,63.7905
SN71385,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-8.4,degC,10.2425,63.6965
SN68125,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-8.5,degC,10.3498,63.4223
SN68262,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-8.9,degC,10.4657,63.3064
SN69020,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-6.5,degC,10.515,63.4268
SN68863,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-8.0,degC,10.4535,63.4107
SN68120,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-9.6,degC,10.3597,63.3628
SN68230,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-9.3,degC,10.4228226,63.3986067
SN69100,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-7.4,degC,10.9305,63.4597
SN68110,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-8.4,degC,10.2642,63.4182
SN68860,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-7.6,degC,10.4538,63.4107
SN69655,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-5.3,degC,10.6932,63.5652
SN69150,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-8.1,degC,10.8796051,63.488132
SN71780,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-5.6,degC,10.2237,63.9678
SN67140,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-9.2,degC,10.2973,63.3403
