sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN34115,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-4.5,degC,9.4837,58.9675
SN35110,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-4.2,degC,9.11967,58.851
SN34370,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-4.1,degC,9.3126,58.92455
SN35860,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),0.0,degC,9.1478,58.6362
SN35210,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.2,degC,9.0263,58.87
SN35110,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-10.7,degC,9.11967,58.851
SN34115,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-9.0,degC,9.4837,58.9675
SN34370,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-7.3,degC,9.3126,58.92455
SN35860,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-3.1,degC,9.1478,58.6362
SN35210,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-5.9,degC,9.0263,58.87
SN34370,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-5.8,degC,9.3126,58.92455
SN35110,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-8.7,degC,9.11967,58.851
SN34115,2025-01-03 00:00:00+00:00,mean(air_temperature P1D),-7.5,degC,9.4837,58.9675
SN35210,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-11.2,degC,9.0263,58.87
SN35860,2025-01-03 06:00:00+00:00,mean(air_temperature P1D),-2.8,degC,9.1478,58.6362
SN35110,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-13.4,degC,9.11967,58.851
SN34370,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-11.4,degC,9.3126,58.92455
SN34115,2025-01-04 00:00:00+00:00,mean(air_temperature P1D),-13.1,degC,9.4837,58.9675
SN35210,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-10.1,degC,9.0263,58.87
SN35860,2025-01-04 06:00:00+00:00,mean(air_temperature P1D),-2.8,degC,9.1478,58.6362
SN34370,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-6.4,degC,9.3126,58.92455
SN34115,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-7.3,degC,9.4837,58.9675
SN35110,2025-01-05 00:00:00+00:00,mean(air_temperature P1D),-6.3,degC,9.11967,58.851
SN35210,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-11.8,degC,9.0263,58.87
SN35860,2025-01-05 06:00:00+00:00,mean(air_temperature P1D),-2.5,degC,9.1478,58.6362
SN35110,2025-01-06 00:00:00+00:00,mean(air_temperature P1D),-2.4,degC,9.11967,58.851
SN34115,2025-01-06 00:00:00+00:00,mean(air_temperature P1D),-2.8,degC,9.4837,58.9675
SN34370,2025-01-06 00:00:00+00:00,mean(air_temperature P1D),-2.4,degC,9.3126,58.92455
SN35210,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-4.3,degC,9.0263,58.87
SN35860,2025-01-06 06:00:00+00:00,mean(air_temperature P1D),-2.6,degC,9.1478,58.6362
SN34115,2025-01-07 00:00:00+00:00,mean(air_temperature P1D),1.0,degC,9.4837,58.9675
