sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN50245,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.2,degC,5.69417,60.36433
SN50311,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-6.2,degC,5.96683,60.38767
SN50360,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-4.1,degC,5.65017,60.39817
SN50395,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-2.5,degC,5.4442,60.1912
SN52452,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-1.9,degC,5.267,60.5225
SN52415,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.1,degC,5.2273,60.7037
SN50505,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.9,degC,5.37133,60.34517
SN50506,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-2.7,degC,5.33833,60.353
SN50507,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.2,degC,5.29917,60.331
SN50525,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-2.2,degC,5.1555,60.372
SN50526,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-1.5,degC,5.17383,60.3725
SN52390,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.3,degC,5.4722,60.626
SN52360,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-4.4,degC,5.62383,60.7915
SN50710,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.0,degC,5.3217,60.4365
SN50815,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-4.1,degC,5.348,60.4768
SN50850,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-4.7,degC,5.4515,60.357
SN52940,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-6.1,degC,5.49883,60.941
SN51210,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.3,degC,5.8335,60.6123
SN50480,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-0.6,degC,5.2777,60.2913
SN52310,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-3.1,degC,5.9758,60.859
SN50231,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-0.9,degC,5.7436545,60.2500911
SN50175,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),0.2,degC,5.2038,60.0167
SN51010,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-0.9,degC,5.7243,60.5205
SN50539,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-0.2,degC,5.332,60.3837
SN50503,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.5,degC,5.3967,60.35
SN50810,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.1,degC,5.3418,60.4742
SN50570,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.1,degC,5.3358,60.404
SN50310,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-4.6,degC,5.9636631,60.3889174
SN50865,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-3.1,degC,5.542,60.3828
SN50540,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-0.2,degC,5.3327,60.383
SN50500,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.2,degC,5.2265,60.2892
SN50395,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-3.8,degC,5.4442,60.1912
SN50507,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-3.6,degC,5.29917,60.331
SN50506,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-3.7,degC,5.33833,60.353
SN52940,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-4.7,degC,5.49883,60.941
SN50505,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-4.9,degC,5.37133,60.34517
SN50525,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-2.7,degC,5.1555,60.372
SN50850,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-5.0,degC,5.4515,60.357
SN50815,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-4.3,degC,5.348,60.4768
SN52458,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-3.7,degC,5.20667,60.44717
SN50710,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-3.5,degC,5.3217,60.4365
SN51210,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-4.8,degC,5.8335,60.6123
SN50311,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-8.4,degC,5.96683,60.38767
SN52390,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-4.7,degC,5.4722,60.626
SN52452,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-2.9,degC,5.267,60.5225
SN50360,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-5.4,degC,5.65017,60.39817
SN50526,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-2.5,degC,5.17383,60.3725
