sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN27320,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-4.2,degC,10.3771,59.37405
SN27730,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-4.7,degC,10.20717,59.18667
SN27130,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.8,degC,10.42167,59.432
SN27285,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.9,degC,10.379,59.33085
SN27295,2025-01-01 00:00:00+00:00,mean(air_temperature P1D),-3.7,degC,10.1975,59.30367
SN27162,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.9,degC,10.46,59.3563
SN27282,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.1,degC,10.3603,59.2632
SN27406,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.3,degC,10.4238,59.169
SN27403,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.3,degC,10.45442,59.2084
SN27460,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.5,degC,10.4103,59.2173
SN27450,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.8,degC,10.345751,59.229738
SN27270,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.7,degC,10.4312,59.2782
SN27271,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.4,degC,10.4019,59.27
SN27330,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.0,degC,10.2983,59.2938
SN27400,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.4,degC,10.45604,59.23662
SN27120,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.1,degC,10.3847,59.4283
SN27212,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.4,degC,10.2087,59.4173
SN27470,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.2,degC,10.2553,59.1845
SN27318,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.1,degC,10.3672,59.363
SN27261,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-0.9,degC,10.4985,59.2625
SN27480,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.1,degC,10.2752,59.1683
SN27780,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.1,degC,10.1250557,59.045747
SN27435,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.8,degC,10.4023,59.2417
SN27160,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.2,degC,10.4647,59.4198
SN27315,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.2,degC,10.2397,59.3808
SN27420,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.4,degC,10.398,59.1205
SN27281,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.1,degC,10.3957,59.3173
SN27272,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.9,degC,10.4275,59.2937
SN27214,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.6,degC,10.2799816,59.4109629
SN27433,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-1.4,degC,10.3655,59.1745
SN27161,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.2,degC,10.3985,59.3845
SN27316,2025-01-01 06:00:00+00:00,mean(air_temperature P1D),-2.3,degC,10.2692,59.371
SN27130,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-6.3,degC,10.42167,59.432
SN27285,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-10.0,degC,10.379,59.33085
SN27295,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-11.9,degC,10.1975,59.30367
SN27730,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-6.3,degC,10.20717,59.18667
SN27320,2025-01-02 00:00:00+00:00,mean(air_temperature P1D),-7.4,degC,10.3771,59.37405
SN27406,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-4.8,degC,10.4238,59.169
SN27780,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-4.9,degC,10.1250557,59.045747
SN27480,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-5.2,degC,10.2752,59.1683
SN27316,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-5.7,degC,10.2692,59.371
SN27420,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-4.1,degC,10.398,59.1205
SN27162,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-4.8,degC,10.46,59.3563
SN27214,2025-01-02 06:00:00+00:00,mean(air_temperature P1D),-5.6,degC,10.2799816,59.4109629
