sourceId,referenceTimestamp,value,unit,lon,lat
SN13060,2025-01-01 06:00:00+00:00,5.3,mm,10.1732,61.2732
SN24600,2025-01-01 06:00:00+00:00,7.6,mm,9.5958,60.137
SN31410,2025-01-01 06:00:00+00:00,9.8,mm,8.6663,59.88
SN31850,2025-01-01 06:00:00+00:00,11.8,mm,8.7124579,59.6047213
SN27301,2025-01-01 06:00:00+00:00,7.0,mm,10.2501,59.3562
SN26670,2025-01-01 06:00:00+00:00,7.6,mm,9.9534,59.62515
SN31080,2025-01-01 06:00:00+00:00,13.7,mm,8.7011124,60.1284309
SN23720,2025-01-01 06:00:00+00:00,7.4,mm,8.569,61.124
SN31900,2025-01-01 06:00:00+00:00,11.5,mm,8.8083264,59.7464781
SN30530,2025-01-01 06:00:00+00:00,8.2,mm,9.2643,59.5688
SN24960,2025-01-01 06:00:00+00:00,8.8,mm,8.9478,60.7188
SN25100,2025-01-01 06:00:00+00:00,13.9,mm,8.5285,60.8703
SN32350,2025-01-01 06:00:00+00:00,16.7,mm,8.3752026,59.6467898
SN25320,2025-01-01 06:00:00+00:00,15.0,mm,8.5609,60.6391
SN22730,2025-01-01 06:00:00+00:00,10.3,mm,9.7238,60.6197
SN29600,2025-01-01 06:00:00+00:00,15.3,mm,8.7511,60.4629
SN19930,2025-01-01 06:00:00+00:00,4.0,mm,10.0563,59.86835
SN22840,2025-01-01 06:00:00+00:00,9.9,mm,9.4905,60.8346
SN30380,2025-01-01 06:00:00+00:00,7.6,mm,9.5337,59.4558
SN23560,2025-01-01 06:00:00+00:00,8.6,mm,8.8557,61.2433
SN27010,2025-01-01 18:00:00+00:00,7.8,mm,10.146,59.713
SN20301,2025-01-01 18:00:00+00:00,2.4,mm,10.2478,60.1665
SN31550,2025-01-01 18:00:00+00:00,6.4,mm,8.3265,59.8295
SN31210,2025-01-01 18:00:00+00:00,3.5,mm,8.2667,60.1
SN31500,2025-01-01 18:00:00+00:00,5.8,mm,8.3477,59.8247
SN26862,2025-01-01 18:00:00+00:00,2.2,mm,10.2118,59.744
SN23420,2025-01-01 18:00:00+00:00,5.3,mm,9.224,60.9785
SN26765,2025-01-01 18:00:00+00:00,2.7,mm,10.1273764,59.5100536
SN26990,2025-01-01 18:00:00+00:00,5.2,mm,10.2150378,59.6193334
SN26840,2025-01-01 18:00:00+00:00,2.0,mm,10.0123,59.7658
SN31520,2025-01-01 18:00:00+00:00,1.6,mm,8.314218,59.8356592
SN27015,2025-01-01 18:00:00+00:00,1.4,mm,10.1458,59.7192
SN21680,2025-01-01 18:00:00+00:00,6.4,mm,10.0358,60.9345
SN26802,2025-01-01 18:00:00+00:00,4.5,mm,10.0258,59.7328
SN26900,2025-01-01 18:00:00+00:00,3.5,mm,10.1206179,59.7538274
SN27057,2025-01-01 18:00:00+00:00,3.5,mm,10.2638442,59.5650719
SN26992,2025-01-01 18:00:00+00:00,4.1,mm,10.2291486,59.6269639
SN31250,2025-01-01 18:00:00+00:00,3.3,mm,8.3755,59.9958
SN26790,2025-01-01 18:00:00+00:00,0.5,mm,10.0275,59.7498
SN23500,2025-01-01 18:00:00+00:00,4.8,mm,9.063,61.122
SN26864,2025-01-01 18:00:00+00:00,2.3,mm,10.195,59.7497
SN23550,2025-01-01 18:00:00+00:00,5.1,mm,8.9225701,61.2509419
SN27040,2025-01-01 18:00:00+00:00,3.3,mm,10.2095741,59.5975
SN26630,2025-01-01 18:00:00+00:00,1.1,mm,9.8728,59.7323
SN26898,2025-01-01 18:00:00+00:00,2.2,mm,10.1382,59.7538
SN32060,2025-01-01 18:00:00+00:00,1.5,mm,9.2128,59.3822
SN26590,2025-01-01 18:00:00+00:00,3.4,mm,10.2312,59.7445
SN26500,2025-01-01 18:00:00+00:00,1.7,mm,9.9728,59.9202
