station_name,source_id,lon,lat
KRISTIANSAND - HÅNES,SN39030,8.0915,58.1813
E39 FIDJANE,SN39212,7.93967,58.14117
RV9 MOISUND,SN39520,7.77717,58.49083
E18 INNTJORHEIA,SN38150,8.462,58.29683
KRISTIANSAND - KVADRATUREN,SN39200,7.9968,58.1457
KRISTIANSAND - HOLDALSNUTEN,SN39160,8.019,58.1717
RV9 DALEHEFTE,SN39450,7.8125,58.3085
OKSØY FYR,SN39100,8.0532,58.0732
FV439 SUVATNET,SN41005,7.62017,58.086
KJEVIK,SN39040,8.0767,58.2
KRISTIANSAND - FIDJEÅSEN,SN39010,8.0947,58.1302
E39 MONANKRYSSET,SN39970,7.8298,58.111
E18 STUDEVANN,SN38250,8.1865,58.1995
DUEKNIPEN,SN39210,7.9733,58.1427
KRISTIANSAND - BRÅVANN,SN39201,7.9383,58.1095
KRISTIANSAND BRANNSTASJON,SN39165,7.9993,58.1555
KRISTIANSAND - SØMSKLEIVA,SN39150,8.052,58.1502
