station_name,source_id,lon,lat
VOLDA BRANNSTASJON,SN59665,6.0842,62.1447
ØRSTA - EITREFJELL,SN59695,6.2877,62.16
ÅKNESSKARET,SN60242,6.9869,62.1883
SULA - LANGEVÅG,SN60870,6.1922,62.4402
ØRSTA-VOLDA LUFTHAMN,SN59680,6.078056927162791,62.180413205637954
LEBERGSFJELLET,SN60810,6.8717,62.5158
ÅLESUND IV,SN60945,6.2108,62.4703
E39 BJØRNDALSBRUA,SN59850,6.011491,62.275183
E39 ØRSKOGFJELL,SN61070,6.949,62.5325
FV5957 GISKEBRUA,SN60980,6.07617,62.50817
FV659 LEPSØYBRUA,SN61025,6.25367,62.59467
FV60 KJELLSTADLIA,SN60247,6.72883,62.028
FV659 REMMEFJELL,SN61010,6.479502,62.540597
E136 ÅLESUND,SN60947,6.20383,62.47017
VOLDA - BRATTEBERG SKOLE,SN59667,6.1122,62.1497
E39 SOLAVÅGEN FERJEKAI,SN60860,6.32717,62.4135
BRUSDALSVATN II,SN60890,6.4013,62.4654
ØRSKOG,SN60800,6.8167,62.4775
ROALDSHORNET,SN60190,6.849,62.3065
BRUSDALEN,SN60875,6.4797,62.4848
E39 KVIVSVEIEN,SN69661,6.4187,62.0385
REKDAL,SN61060,6.7552,62.6512
VOLDA,SN59660,6.0673,62.1468
SYKKYLVEN - VIK,SN60010,6.5758,62.3858
ONA II,SN62480,6.5378,62.8585
EMBLEM,SN60850,6.4325,62.4317
ÅKERNESET,SN60240,6.9933,62.191
E39 BRUSDALEN,SN60880,6.47233,62.48367
FV60 STRANDAFJELLET,SN60225,6.79283,62.2915
FINNØYA FERJEKAI,SN62450,6.50905,62.8042
E39 DRAGSUNDET,SN60835,6.72544,62.4913
HORNINDAL,SN58960,6.6502,62.0033
VIGRA,SN60990,6.115,62.5617
SYKKYLVEN - STRAUMGJERDET,SN60030,6.5912,62.337
TOMREFJORD,SN61062,6.9247,62.6062
