station_name,source_id,lon,lat
OSLO - BLINDERN,SN18700,10.72,59.9423
OSLO - ELVEBAKKEN,SN18317,10.7528,59.9188
ØVREVOLL,SN19510,10.6227,59.94046
BÆRUM - STORØYA,SN19405,10.608,59.8909
ØSTERÅS,SN19459,10.6027,59.9478
OSLO - BYGDØY II,SN18810,10.6815,59.9118
OSLO - TØYEN,SN18310,10.7747,59.9147
OSLO - BESSERUD,SN18920,10.671,59.9573
E18 HJORTNES,SN18690,10.70433,59.91117
OSLO - LØREN,SN18205,10.7902,59.9287
OSLO - SOLLI PLASS,SN18645,10.7202,59.9142
TRYVANNSHØGDA,SN18950,10.6692319,59.9847986
BLEKSLITJERN,SN17780,10.6308,59.8095
NESODDEN - TANGENÅSEN,SN17810,10.6622,59.8553
OSLO - DISEN,SN18420,10.7903,59.946
OSLO - SANDAKER,SN18405,10.7727,59.9398
OSLO - LYSAKER,SN18970,10.6348,59.9185
OSLO - BLINDERN PLU,SN18701,10.7202,59.9423
MARIDALSOSET,SN18450,10.7894,59.9719
OSLO - BJØLSEN,SN18390,10.7483,59.9418
OSLO - KVÆRNERBYEN,SN18162,10.7863,59.9047
OSLO - KJELSÅS,SN18440,10.77564,59.95995
OSLO - BLINDERN TESTFELT,SN18703,10.7194,59.94256
BLINDERN-KVT-IOT,SN499999010,10.7167,59.9333
RV4 AKER SYKEHUS,SN18410,10.798,59.941
