station_name,source_id,lon,lat
E39 SØYLAND,SN44485,5.9877,58.6833
TJELTA,SN44530,5.5942,58.8437
STAVANGER - VÅLAND,SN44640,5.7278,58.9563
SANDNES - ROVIK,SN44730,5.7592,58.8662
ULLANDHAUG,SN44562,5.69005,58.93355
STAVANGER - MADLA,SN44580,5.6697,58.9482
RV426 SLEVELAND IOT,SN43390,6.0584114,58.5130222
HELLAND I GJESDAL,SN44520,6.0135,58.755
FV44 KVASSHEIM,SN43895,5.6815,58.5505
SOLA RADIOSONDESTASJON,SN44550,5.6645,58.8725
E39 SAGLANDSBAKKEN,SN43530,6.07617,58.56033
OBRESTAD FYR,SN44080,5.5553,58.6592
FV4496 TENGESDAL,SN44780,5.96217,58.86417
STAVANGER - HUNDVÅG,SN44660,5.7193,58.9987
TANANGER,SN44552,5.6012,58.9319
E39 UALAND,SN43490,6.3257,58.5337
TIME - LYE,SN44190,5.7262,58.7345
E39 FINNESTAD,SN44567,5.6545,58.9908
SVILAND,SN44800,5.9202,58.8185
FV42 TVERRÅ,SN43520,6.48667,58.6265
SØYLAND I GJESDAL,SN44480,5.9817,58.6855
MAUDAL,SN43810,6.3675,58.7645
STAVANGER - TASTA,SN44620,5.6847,58.9875
E39 FORUS,SN44710,5.7183,58.8842
SOLA PLU,SN44548,5.6495,58.8792
FV45 DIRDAL,SN44970,6.243,58.80767
SÆRHEIM,SN44300,5.6508,58.7605
SOLA,SN44560,5.637,58.8843
IMS,SN44760,5.9643464,58.9051712
FV510 REGE,SN44545,5.64683,58.858
RV509 SUNDEKROSSEN,SN44563,5.61467,58.96217
SOLA - GRANNES,SN44554,5.67219,58.9144
