station_name,source_id,lon,lat
BIRTAVARRE - HOLMEN,SN91551,20.8693,69.4802
LYNGEN - URA,SN91150,20.0930685,69.5887
GAMANJUNNI,SN91530,20.5787,69.4818
LENANGSSTRAUMEN,SN91180,20.1387,69.8915
ENONTEKIO KILPISJARVI,SN280100,20.7911111111111,69.0494444444444
SKIBOTN II,SN91380,20.2823,69.3875
LYNGEN - GJERDELVDALEN,SN91120,20.1518,69.5598
VORTERØYSKAGEN,SN91685,20.6642,69.9878
ULØYA - HOLTEN,SN91670,20.6,69.92
MANNDALEN - VADDJA,SN91251,20.5268,69.4722
E6 NORDNES,SN91505,20.39883,69.585
NORD-LENANGEN II,SN91200,20.1968,69.931
LYNGSEIDET V,SN91245,20.212,69.5735
E8 BOSSOVARRI,SN91490,20.7455,69.1185
KÅGEN - SKARVESTEINEN,SN91690,20.71,69.99
RIHPOJAVRI,SN91430,20.5795,69.2235
NORDNESFJELLET - JETTANII,SN91502,20.4108,69.5543
E8 GARDEBORRI,SN91460,20.75033,69.18183
E6 DJUPVIK,SN91675,20.506,69.7537
GAMANJUNNI - 1100MOH,SN91528,20.57,69.4805
MANNDALEN II,SN91510,20.5398,69.5208
SØRKJOSEN LUFTHAVN,SN91740,20.9524,69.7902
E8 GALGO,SN91480,20.7468,69.1467
FV866 MAURSUND,SN91695,20.914,69.93667
LYNGEN - ÅRØYA,SN91220,20.31,69.66
LYNGEN - GJERDVASSBU,SN91130,20.094,69.5588
ENONTEKIÖ KILPISJÄRVI SAANA,SN270100,20.851,69.0428
E8 HALSEBAKKAN NEDRE,SN91420,20.4657,69.2852
