station_name,source_id,lon,lat
TRONDHEIM - GRANÅSEN,SN68090,10.3123892,63.3757259
FV755 MELTINGEN,SN71230,10.73033,63.7905
FV715 HOGSDALEN,SN71385,10.2425,63.6965
ÅFJORD II,SN71780,10.2237,63.9678
TRONDHEIM - RISVOLLAN,SN68230,10.4228226,63.3986067
VÆRNES,SN69100,10.9305,63.4597
E6 HORG,SN67210,10.25483,63.13833
SVERRESBORG,SN68125,10.3498,63.4223
BREIVOLL,SN71750,10.4055,63.918
LEINSTRAND,SN67150,10.2733,63.3281
TRONDHEIM - GLØSHAUGEN,SN68173,10.4072,63.4153
SKISTUA,SN68110,10.2642,63.4182
SVARTTJØRNBEKKEN,SN69010,10.648,63.3188
LEKSVIK - MYRAN,SN71280,10.6075,63.6856
E39 ØYSAND,SN67153,10.2438,63.3237
LADE,SN68050,10.4428,63.4428
FV6668 HAAKON VII GATE,SN68053,10.453122,63.4427521
TRONDHEIM - VOLL,SN68860,10.4538,63.4107
KVITHAMAR,SN69150,10.8796051,63.488132
TRONDHEIM - VOLL PLU,SN68863,10.4535,63.4107
KLÆBU II,SN68262,10.4657,63.3064
E6 HEIMDAL,SN68238,10.3706,63.34835
E6 MOHOLTLIA,SN68175,10.4388,63.4078
SKJETLEIN,SN67140,10.2973,63.3403
FROSTA,SN69655,10.6932,63.5652
LØKSMYR,SN68270,10.4369,63.2315
E6 KVÅL,SN67175,10.2832,63.2583
E6 MALVIK,SN69035,10.664,63.4262
SAUPSTAD,SN68120,10.3597,63.3628
VANVIKAN,SN71290,10.2234,63.5531
RANHEIM,SN69020,10.515,63.4268
