station_name,source_id,lon,lat
FV560 KROSSLEITET,SN50514,5.077,60.31833
KV5738 NATTLANDSFJELLET,SN50505,5.37133,60.34517
E39 NORDHORDLANDSBRUA,SN52452,5.267,60.5225
FV48 TYSSE VEST,SN50245,5.69417,60.36433
ÅSANE,SN50810,5.3418,60.4742
FOSSMARK,SN51010,5.7243,60.5205
BREKKE I SOGN,SN52930,5.425,60.9585
SOTRA - STYKKHAUGEN,SN50517,5.122896,60.317655
STORE KONGSHAUGEN,SN50508,5.210791,60.337542
RV555 SOTRABRUA,SN50526,5.17383,60.3725
SKREDDERDALEN,SN50570,5.3358,60.404
AUSTEVOLL,SN50175,5.2038,60.0167
KVAMSKOGEN - JONSHØGDI,SN50310,5.9636631,60.3889174
E16 INDRE ARNA,SN50830,5.461,60.42133
RV555 SOTRABRUA,SN50525,5.1555,60.372
FV5368 BØNESSKOGEN,SN50507,5.29917,60.331
FRØYSET,SN52750,5.2108,60.8462
KV4339 BLINDHEIM,SN50770,5.38883,60.46117
E39 VÅGSBOTN,SN50815,5.348,60.4768
E16 DALSEID,SN51210,5.8335,60.6123
E39 EIDSVÅG,SN50710,5.3217,60.4365
FANA - STEND,SN50450,5.3305,60.2728
BERGEN - FLORIDA,SN50540,5.3327,60.383
FV57 SKODVIN,SN52415,5.2273,60.7037
EIKANGER - MYR,SN52400,5.3742,60.6268
BERGEN - SANDSLI,SN50480,5.2777,60.2913
MODALEN III,SN52310,5.9758,60.859
FV57 MONGSTAD SØR,SN52555,5.02183,60.79283
BERGEN - FLORIDA UIB,SN50539,5.332,60.3837
FV49 GULLBOTN,SN50360,5.65017,60.39817
SAMNANGER II,SN50351,5.8938,60.464
GULLFJELLET,SN50865,5.542,60.3828
E39 OSTEREIDET,SN52390,5.4722,60.626
E39 FJØSANGERVEIEN,SN50506,5.33833,60.353
HATLESTRAND,SN50150,5.9032,60.045
E39 KRINGLA,SN52940,5.49883,60.941
FV587 HAUKELAND,SN50850,5.4515,60.357
FLESLAND,SN50500,5.2265,60.2892
KV4821 NIPEDALEN,SN50527,5.2655,60.3685
EIKELANDSOSEN,SN50231,5.7436545,60.2500911
E39 ROMARHEIMSDALEN,SN52360,5.62383,60.7915
E39 MOBERGSBRUA,SN50395,5.4442,60.1912
SÆDALEN,SN50503,5.3967,60.35
ØVSTEDAL,SN51250,5.9647,60.6887
FV49 KVAMSKOGEN,SN50311,5.96683,60.38767
FV5256 STEINRUSTEN,SN52458,5.20667,60.44717
