station_name,source_id,lon,lat
FV307 GRAVDAL,SN27295,10.1975,59.30367
SANDEFJORD,SN27600,10.2147,59.132
SANDEFJORD - MOSSERØD,SN27564,10.2025,59.1505
HORTEN II,SN27160,10.4647,59.4198
VÅLE,SN27214,10.2799816,59.4109629
SANDEFJORD - GJEKSTAD,SN27540,10.2558,59.1312
TØNSBERG GJESTEHAVN,SN27271,10.4019,59.27
MELSOM,SN27450,10.345751,59.229738
FV310 KOTTERØD,SN27130,10.42167,59.432
NØTTERØY - VESTSKOGEN,SN27435,10.4023,59.2417
HOLMESTRAND II,SN27085,10.3070762,59.4858783
SANDEFJORD - NORDRE BERGAN,SN27480,10.2752,59.1683
STOKKE - SOLLI,SN27770,10.2022,59.2752
TØNSBERG - TARANRØD,SN27330,10.2983,59.2938
TJØME,SN27420,10.398,59.1205
TØNSBERG - VALLØ,SN27261,10.4985,59.2625
RAMNES - KILE VESTRE,SN27315,10.2397,59.3808
HOLMESTRAND - BRINGÅKER,SN27073,10.242283,59.4979054
TØNSBERG - KILEN,SN27270,10.4312,59.2782
UNDRUMSDAL,SN27318,10.3672,59.363
TØNSBERG - VEAR,SN27282,10.3603,59.2632
SANDEFJORD - SENTRUM,SN27590,10.2195,59.129
E18 TVEITEN,SN27285,10.379,59.33085
ÅSGÅRDSTRAND,SN27162,10.46,59.3563
TORP,SN27470,10.2553,59.1845
E18 FOKSERØD,SN27730,10.20717,59.18667
HORTEN - NYKIRKE,SN27120,10.3847,59.4283
LARVIK,SN30000,10.0667,59.0572
E18 UNDRUMSDAL,SN27320,10.3771,59.37405
TØNSBERG - EIK,SN27272,10.4275,59.2937
TØNSBERG - BARKÅKER,SN27281,10.3957,59.3173
NØTTERØY - BORGHEIM,SN27460,10.4103,59.2173
NØTTERØY - FØYNLAND,SN27400,10.45604,59.23662
FON,SN27212,10.2087,59.4173
NØTTERØY - KNARRBERG,SN27403,10.45442,59.2084
HORTEN - SKOPPUM,SN27161,10.3985,59.3845
TJØLLING,SN27780,10.1250557,59.045747
FV308 TJØME-BUDAL,SN27415,10.38483,59.125
NØTTERØY - TORØD,SN27406,10.4238,59.169
NØTTERØY - TENVIK,SN27433,10.3655,59.1745
SANDEFJORD - ENGA,SN27630,10.2147,59.0857
REVETAL,SN27316,10.2692,59.371
RAMNES - BERG,SN27301,10.2501,59.3562
