station_name,source_id,lon,lat
E16 RYFOSS,SN23670,8.8175,61.1375
E134 DARBU,SN26640,9.7773,59.7025
FV307 GRAVDAL,SN27295,10.1975,59.30367
SANDE - GALLEBERG,SN26990,10.2150378,59.6193334
VÅLE,SN27214,10.2799816,59.4109629
DRAMMEN - BERSKOG,SN26900,10.1206179,59.7538274
DRAMMEN SYKEHUS,SN26864,10.195,59.7497
FV37 JØNJILJO,SN31700,8.92667,59.87033
LØKEN I VOLBU,SN23500,9.063,61.122
FAGERNES LUFTHAMN,SN23410,9.3014123,61.00279
TUDDAL,SN31900,8.8083264,59.7464781
DRAMMEN - BANGELØKKA,SN26580,10.2142049,59.7310381
DAGALI LUFTHAVN,SN29720,8.5263,60.4188
KROKSTADELVA - LANGELØKKA,SN26840,10.0123,59.7658
DRAMMEN - GULSKOGEN,SN26894,10.1672,59.7413
GLITREVANN,SN19932,10.065,59.8562
FV287 SANDSBRÅTEN,SN26230,9.59083,60.041
E6 TINGBERG,SN13125,10.28683,61.2865
SANDE - GUNNESTAD,SN27040,10.2095741,59.5975
SOLBERGELVA - OLLEVEIEN,SN26780,10.0582,59.7655
BEITOSTØLEN II,SN23550,8.9225701,61.2509419
DRAMMEN - BRAGERNES SKOLE,SN26852,10.2258,59.7487
GRIMELI I KRØDSHERAD,SN24600,9.5958,60.137
TUNHOVD,SN29600,8.7511,60.4629
LIFJELL - ØYSTEINNATTEN,SN32220,8.9837,59.5022
KONGSBERG BRANNSTASJON,SN28380,9.6377,59.6247
NOTODDEN LUFTHAVN,SN30650,9.2111,59.5666
SUNDBYFOSS,SN26765,10.1273764,59.5100536
NESBYEN - TODOKK,SN24890,9.1323323,60.5669244
GROSET,SN31520,8.314218,59.8356592
FV3420 AMBJØRNDALEN,SN31855,8.585,59.5873
GVARV - NES BIOFORSK,SN32061,9.2118,59.3822
KONNERUD,SN27010,10.146,59.713
FV35 HEMSDALEN HOF,SN26750,10.05967,59.57017
HEMSEDAL - FETJO,SN25090,8.532364,60.867445
SYLLING,SN19958,10.2937,59.8953
SANDE - FOSS,SN26992,10.2291486,59.6269639
LIER,SN19940,10.2598,59.7908
RAMNES - KILE VESTRE,SN27315,10.2397,59.3808
E18 HANEKLEIVA,SN27055,10.1755,59.58317
MØSVASSDAMMEN,SN31550,8.3265,59.8295
HOLMESTRAND - BRINGÅKER,SN27073,10.242283,59.4979054
NOTODDEN,SN30530,9.2643,59.5688
FYRIEGG,SN31400,8.6978,59.8655
DRAMMEN - AUSTAD,SN26932,10.2168,59.721
VANG I VALDRES,SN23720,8.569,61.124
DRAMMEN - DANVIK,SN26594,10.1973,59.7327
VESTFOSSEN,SN26630,9.8728,59.7323
GULSVIK II,SN24710,9.605,60.383
TESSUNGDALEN - BAKKHUS,SN31080,8.7011124,60.1284309
RV7 KVISLA,SN25580,8.32133,60.5825
DRAMMEN - ØREN SKOLE,SN26872,10.1705,59.7523
GODAL,SN30380,9.5337,59.4558
ÅL III,SN25320,8.5609,60.6391
FLESBERG,SN28750,9.3995,59.8685
VEST-TORPA II,SN21680,10.0358,60.9345
BØ,SN32240,9.0287,59.4175
E16 KALPLASSEN,SN22990,9.3343,60.9532
HEDAL I VALDRES II,SN22730,9.7238,60.6197
HEMSEDAL II,SN25110,8.5929429,60.8548588
SANDE - KVERNTANGEN,SN27057,10.2638442,59.5650719
FV40 VEGGLI,SN28923,9.16667,60.03933
RV7 RALLERUD,SN24240,9.84533,60.25883
E18 GRELLAND,SN27075,10.2078,59.511
FV287 HAGLEBU,SN26450,9.186,60.36667
RV52 STORESKAR,SN25140,8.3454396,60.8808729
STRENGEN,SN31250,8.3755,59.9958
TINNOSDAMMEN,SN30810,9.02453,59.723778
LIER - SJÅSTAD,SN19945,10.2177,59.8628
DRAMMEN - JARLSBERGVEIEN,SN27015,10.1458,59.7192
GVARV - NES,SN32060,9.2128,59.3822
GLITRE,SN19930,10.0563,59.86835
E16 HALLINGBY,SN22200,10.1863,60.2733
RV7 NESBYEN,SN24820,9.15483,60.5325
HØNEFOSS - HVERVEN,SN20280,10.26617,60.14033
DARBU,SN26650,9.8507,59.6878
FAGERNES,SN23420,9.224,60.9785
ÅMOTSDAL,SN32350,8.3752026,59.6467898
GEITHUS,SN26500,9.9728,59.9202
REINLI,SN22840,9.4905,60.8346
DRAMMEN - SLETTA,SN26590,10.2312,59.7445
HØNEFOSS - HØYBY,SN20301,10.2478,60.1665
YLJA KRAFTVERK,SN23800,8.3807,61.1973
FV280 ENDERUD BRU,SN24670,9.69183,60.26833
DRAMMEN - SOLUMSTRAND,SN26934,10.2688,59.7112
E134 MEHEIA,SN28450,9.4545,59.6112
GOL - STAKE,SN24960,8.9478,60.7188
DRAMMEN - ÅSSIDEN,SN26898,10.1382,59.7538
FON,SN27212,10.2087,59.4173
FV51 GOLSFJELLET,SN23300,9.1185,60.8175
RV36 SELJORD,SN32290,8.64433,59.4895
MJØNDALEN - ORKIDEHØGDA,SN26790,10.0275,59.7498
DRAMMEN TINGHUS,SN26862,10.2118,59.744
RV350 NAKKERUD,SN24350,10.049,60.05183
E16 BEGNADALEN,SN22690,9.89533,60.632
HEMSEDAL SKISENTER,SN25115,8.4968,60.8397
E134 GVAMMEN,SN31853,8.7152,59.5993
FV33 TONSÅSEN,SN22890,9.545,60.86433
UVDAL KRAFTVERK,SN29350,8.7057,60.255
GAUSDAL - FOLLEBU,SN13030,10.26141,61.22651
GAUSTATOPPEN,SN31970,8.6562,59.8497
E16 HUGAVIKA,SN23680,8.6782,61.1535
FV40 DAGALIFJELL,SN29700,8.4885,60.37383
HOKKSUND,SN26820,9.8922,59.7613
MJØNDALEN - ÅSEN,SN26802,10.0258,59.7328
BUSNES,SN30875,8.9865101,59.8104756
VEGGLI II,SN28922,9.1468,60.0435
MÅR - SYNKEN,SN31210,8.2667,60.1
FV37 RAULANDSFJELLET,SN31560,8.258,59.79783
BERGELIGREND,SN30860,9.058,59.8861
HAKAVIK,SN26670,9.9534,59.62515
HEMSEDAL - HØLTO,SN25100,8.5285,60.8703
FV250 VINGROMÅSEN,SN21700,10.14533,61.01017
SKOTSELV,SN26060,9.8948,59.8387
GAUSDAL - OVREHAGEN,SN13060,10.1732,61.2732
FV313 BOGEN,SN27065,10.26433,59.531
FV288 SOKNA,SN24230,9.84083,60.2225
REVETAL,SN27316,10.2692,59.371
HJARTDAL,SN31850,8.7124579,59.6047213
BEITO,SN23560,8.8557,61.2433
RAMNES - BERG,SN27301,10.2501,59.3562
FRØYSTUL,SN31500,8.3477,59.8247
RV52 EIKREDAMMEN,SN25040,8.74433,60.786
SANDE - LAUVKOLLMYR,SN26996,10.104,59.6469
RJUKAN,SN31410,8.6663,59.88
HEMSEDAL - HOLLEKOLTEN,SN25112,8.5175,60.8705
