,sourceId,referenceTimestamp,datatype,value,unit,reason
0,SN90450:0,2017-05-11 00:00:00+00:00,mean(relative_humidity P1D),42,percent,zscore_outlier
1,SN90450:0,2017-05-12 00:00:00+00:00,mean(relative_humidity P1D),42,percent,zscore_outlier
2,SN90450:0,2017-06-08 00:00:00+00:00,mean(relative_humidity P1D),42,percent,zscore_outlier
3,SN90450:0,2017-10-01 00:00:00+00:00,mean(relative_humidity P1D),39,percent,zscore_outlier
4,SN90450:0,2017-11-23 00:00:00+00:00,mean(relative_humidity P1D),42,percent,zscore_outlier
5,SN90450:0,2018-05-28 00:00:00+00:00,mean(relative_humidity P1D),39,percent,zscore_outlier
6,SN90450:0,2020-05-23 00:00:00+00:00,mean(relative_humidity P1D),41,percent,zscore_outlier
7,SN90450:0,2021-01-21 00:00:00+00:00,mean(relative_humidity P1D),42,percent,zscore_outlier
8,SN90450:0,2021-04-19 00:00:00+00:00,mean(relative_humidity P1D),42,percent,zscore_outlier
9,SN90450:0,2021-05-23 00:00:00+00:00,mean(relative_humidity P1D),42,percent,zscore_outlier
10,SN90450:0,2022-05-25 00:00:00+00:00,mean(relative_humidity P1D),42,percent,zscore_outlier
11,SN90450:0,2022-05-26 00:00:00+00:00,mean(relative_humidity P1D),41,percent,zscore_outlier
12,SN90450:0,2024-05-08 00:00:00+00:00,mean(relative_humidity P1D),41,percent,zscore_outlier
