,sourceId,referenceTimestamp,datatype,value,unit,reason
0,SN90450:0,2015-07-13 00:00:00+00:00,sum(duration_of_sunshine P1D),19.5,hours,zscore_outlier
1,SN90450:0,2016-07-12 00:00:00+00:00,sum(duration_of_sunshine P1D),21.7,hours,zscore_outlier
2,SN90450:0,2017-05-27 00:00:00+00:00,sum(duration_of_sunshine P1D),19.5,hours,zscore_outlier
3,SN90450:0,2017-06-07 00:00:00+00:00,sum(duration_of_sunshine P1D),23.1,hours,zscore_outlier
4,SN90450:0,2017-06-08 00:00:00+00:00,sum(duration_of_sunshine P1D),21.6,hours,zscore_outlier
5,SN90450:0,2017-06-09 00:00:00+00:00,sum(duration_of_sunshine P1D),22.3,hours,zscore_outlier
6,SN90450:0,2017-06-10 00:00:00+00:00,sum(duration_of_sunshine P1D),22.5,hours,zscore_outlier
7,SN90450:0,2017-06-11 00:00:00+00:00,sum(duration_of_sunshine P1D),23.1,hours,zscore_outlier
8,SN90450:0,2017-06-12 00:00:00+00:00,sum(duration_of_sunshine P1D),23.2,hours,zscore_outlier
9,SN90450:0,2017-06-13 00:00:00+00:00,sum(duration_of_sunshine P1D),23.1,hours,zscore_outlier
10,SN90450:0,2017-06-30 00:00:00+00:00,sum(duration_of_sunshine P1D),22.6,hours,zscore_outlier
11,SN90450:0,2017-07-23 00:00:00+00:00,sum(duration_of_sunshine P1D),19.6,hours,zscore_outlier
12,SN90450:0,2018-07-02 00:00:00+00:00,sum(duration_of_sunshine P1D),22.5,hours,zscore_outlier
13,SN90450:0,2019-06-13 00:00:00+00:00,sum(duration_of_sunshine P1D),21.2,hours,zscore_outlier
14,SN90450:0,2019-06-14 00:00:00+00:00,sum(duration_of_sunshine P1D),23.1,hours,zscore_outlier
15,SN90450:0,2019-06-15 00:00:00+00:00,sum(duration_of_sunshine P1D),21.6,hours,zscore_outlier
16,SN90450:0,2019-07-09 00:00:00+00:00,sum(duration_of_sunshine P1D),20.3,hours,zscore_outlier
17,SN90450:0,2019-07-12 00:00:00+00:00,sum(duration_of_sunshine P1D),21.6,hours,zscore_outlier
18,SN90450:0,2020-05-22 00:00:00+00:00,sum(duration_of_sunshine P1D),20.3,hours,zscore_outlier
19,SN90450:0,2020-06-13 00:00:00+00:00,sum(duration_of_sunshine P1D),19.8,hours,zscore_outlier
20,SN90450:0,2020-06-17 00:00:00+00:00,sum(duration_of_sunshine P1D),22.1,hours,zscore_outlier
21,SN90450:0,2020-06-20 00:00:00+00:00,sum(duration_of_sunshine P1D),22.2,hours,zscore_outlier
22,SN90450:0,2020-06-21 00:00:00+00:00,sum(duration_of_sunshine P1D),23.1,hours,zscore_outlier
23,SN90450:0,2020-06-22 00:00:00+00:00,sum(duration_of_sunshine P1D),21.5,hours,zscore_outlier
24,SN90450:0,2020-06-28 00:00:00+00:00,sum(duration_of_sunshine P1D),23.0,hours,zscore_outlier
25,SN90450:0,2021-05-23 00:00:00+00:00,sum(duration_of_sunshine P1D),19.4,hours,zscore_outlier
26,SN90450:0,2021-06-02 00:00:00+00:00,sum(duration_of_sunshine P1D),21.7,hours,zscore_outlier
27,SN90450:0,2021-06-04 00:00:00+00:00,sum(duration_of_sunshine P1D),20.9,hours,zscore_outlier
28,SN90450:0,2021-06-06 00:00:00+00:00,sum(duration_of_sunshine P1D),21.6,hours,zscore_outlier
29,SN90450:0,2021-07-02 00:00:00+00:00,sum(duration_of_sunshine P1D),21.2,hours,zscore_outlier
30,SN90450:0,2021-07-03 00:00:00+00:00,sum(duration_of_sunshine P1D),22.9,hours,zscore_outlier
31,SN90450:0,2021-07-04 00:00:00+00:00,sum(duration_of_sunshine P1D),22.1,hours,zscore_outlier
32,SN90450:0,2022-05-19 00:00:00+00:00,sum(duration_of_sunshine P1D),19.6,hours,zscore_outlier
33,SN90450:0,2022-05-30 00:00:00+00:00,sum(duration_of_sunshine P1D),21.1,hours,zscore_outlier
34,SN90450:0,2022-05-31 00:00:00+00:00,sum(duration_of_sunshine P1D),21.4,hours,zscore_outlier
35,SN90450:0,2022-06-02 00:00:00+00:00,sum(duration_of_sunshine P1D),21.7,hours,zscore_outlier
36,SN90450:0,2022-06-26 00:00:00+00:00,sum(duration_of_sunshine P1D),21.5,hours,zscore_outlier
37,SN90450:0,2022-06-27 00:00:00+00:00,sum(duration_of_sunshine P1D),21.0,hours,zscore_outlier
38,SN90450:0,2022-06-28 00:00:00+00:00,sum(duration_of_sunshine P1D),22.5,hours,zscore_outlier
39,SN90450:0,2022-07-01 00:00:00+00:00,sum(duration_of_sunshine P1D),21.0,hours,zscore_outlier
40,SN90450:0,2023-06-10 00:00:00+00:00,sum(duration_of_sunshine P1D),19.6,hours,zscore_outlier
41,SN90450:0,2023-06-17 00:00:00+00:00,sum(duration_of_sunshine P1D),19.9,hours,zscore_outlier
42,SN90450:0,2023-06-18 00:00:00+00:00,sum(duration_of_sunshine P1D),22.3,hours,zscore_outlier
43,SN90450:0,2023-06-19 00:00:00+00:00,sum(duration_of_sunshine P1D),20.5,hours,zscore_outlier
44,SN90450:0,2023-06-26 00:00:00+00:00,sum(duration_of_sunshine P1D),21.0,hours,zscore_outlier
45,SN90450:0,2023-06-27 00:00:00+00:00,sum(duration_of_sunshine P1D),23.0,hours,zscore_outlier
46,SN90450:0,2023-06-30 00:00:00+00:00,sum(duration_of_sunshine P1D),23.0,hours,zscore_outlier
47,SN90450:0,2023-07-01 00:00:00+00:00,sum(duration_of_sunshine P1D),22.9,hours,zscore_outlier
48,SN90450:0,2023-07-07 00:00:00+00:00,sum(duration_of_sunshine P1D),22.0,hours,zscore_outlier
49,SN90450:0,2024-07-01 00:00:00+00:00,sum(duration_of_sunshine P1D),19.5,hours,zscore_outlier
50,SN90450:0,2024-07-14 00:00:00+00:00,sum(duration_of_sunshine P1D),21.3,hours,zscore_outlier
