sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN60890,2015-01-01 00:00:00+00:00,mean(air_temperature P1M),3.3,degC,6.4013,62.4654
SN60850,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),2.5,degC,6.4325,62.4317
SN60240,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),-2.6,degC,6.9933,62.191
SN61060,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),3.5,degC,6.7552,62.6512
SN62480,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),4.7,degC,6.5378,62.8585
SN59680,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),2.0,degC,6.078056927162791,62.180413205637954
SN60800,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),3.1,degC,6.8167,62.4775
SN60990,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),4.0,degC,6.115,62.5617
SN59695,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),-1.7,degC,6.2877,62.16
SN60945,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),4.2,degC,6.2108,62.4703
SN60810,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),-1.2,degC,6.8717,62.5158
SN60190,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),-4.7,degC,6.849,62.3065
SN60890,2015-02-01 00:00:00+00:00,mean(air_temperature P1M),4.0,degC,6.4013,62.4654
SN61060,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),4.1,degC,6.7552,62.6512
SN60800,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),3.7,degC,6.8167,62.4775
SN60850,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),3.7,degC,6.4325,62.4317
SN59695,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),-1.0,degC,6.2877,62.16
SN60945,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),4.5,degC,6.2108,62.4703
SN60810,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),-0.4,degC,6.8717,62.5158
SN62480,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),4.7,degC,6.5378,62.8585
SN60240,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),-2.0,degC,6.9933,62.191
SN60990,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),4.2,degC,6.115,62.5617
SN60190,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),-3.7,degC,6.849,62.3065
SN59680,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),2.9,degC,6.078056927162791,62.180413205637954
SN60890,2015-03-01 00:00:00+00:00,mean(air_temperature P1M),5.4,degC,6.4013,62.4654
SN62480,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),5.5,degC,6.5378,62.8585
SN59695,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),0.1,degC,6.2877,62.16
SN60240,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),-0.4,degC,6.9933,62.191
SN61060,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),4.8,degC,6.7552,62.6512
SN59680,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),3.9,degC,6.078056927162791,62.180413205637954
