sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN51010,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),3.1,degC,5.7243,60.5205
SN50175,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),4.2,degC,5.2038,60.0167
SN52310,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),0.5,degC,5.9758,60.859
SN50500,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),3.3,degC,5.2265,60.2892
SN50310,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),-0.6,degC,5.9636631,60.3889174
SN50540,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),3.6,degC,5.3327,60.383
SN50540,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),3.3,degC,5.3327,60.383
SN50310,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),-0.7,degC,5.9636631,60.3889174
SN51010,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),2.6,degC,5.7243,60.5205
SN50500,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),2.9,degC,5.2265,60.2892
SN52310,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),0.4,degC,5.9758,60.859
SN50175,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),3.7,degC,5.2038,60.0167
SN52310,2015-03-01 00:00:00+00:00,mean(air_temperature P1M),2.4,degC,5.9758,60.859
SN51010,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),4.9,degC,5.7243,60.5205
SN50500,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),4.7,degC,5.2265,60.2892
SN50175,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),5.2,degC,5.2038,60.0167
SN50540,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),5.3,degC,5.3327,60.383
SN50310,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),1.4,degC,5.9636631,60.3889174
SN50310,2015-04-01 06:00:00+00:00,mean(air_temperature P1M),1.8,degC,5.9636631,60.3889174
SN51010,2015-04-01 06:00:00+00:00,mean(air_temperature P1M),5.4,degC,5.7243,60.5205
SN50500,2015-04-01 06:00:00+00:00,mean(air_temperature P1M),5.2,degC,5.2265,60.2892
SN50540,2015-04-01 06:00:00+00:00,mean(air_temperature P1M),6.1,degC,5.3327,60.383
SN50175,2015-04-01 06:00:00+00:00,mean(air_temperature P1M),5.4,degC,5.2038,60.0167
SN52310,2015-04-01 06:00:00+00:00,mean(air_temperature P1M),3.3,degC,5.9758,60.859
SN50540,2015-05-01 06:00:00+00:00,mean(air_temperature P1M),8.5,degC,5.3327,60.383
SN52310,2015-05-01 06:00:00+00:00,mean(air_temperature P1M),6.4,degC,5.9758,60.859
SN50310,2015-05-01 06:00:00+00:00,mean(air_temperature P1M),4.1,degC,5.9636631,60.3889174
SN50500,2015-05-01 06:00:00+00:00,mean(air_temperature P1M),7.7,degC,5.2265,60.2892
SN50175,2015-05-01 06:00:00+00:00,mean(air_temperature P1M),7.9,degC,5.2038,60.0167
SN51010,2015-05-01 06:00:00+00:00,mean(air_temperature P1M),7.7,degC,5.7243,60.5205
SN52310,2015-06-01 06:00:00+00:00,mean(air_temperature P1M),9.4,degC,5.9758,60.859
SN50500,2015-06-01 06:00:00+00:00,mean(air_temperature P1M),10.3,degC,5.2265,60.2892
SN50540,2015-06-01 06:00:00+00:00,mean(air_temperature P1M),11.3,degC,5.3327,60.383
SN50310,2015-06-01 06:00:00+00:00,mean(air_temperature P1M),7.8,degC,5.9636631,60.3889174
SN51010,2015-06-01 06:00:00+00:00,mean(air_temperature P1M),10.6,degC,5.7243,60.5205
SN50175,2015-06-01 06:00:00+00:00,mean(air_temperature P1M),10.3,degC,5.2038,60.0167
SN50540,2015-07-01 06:00:00+00:00,mean(air_temperature P1M),14.5,degC,5.3327,60.383
SN52310,2015-07-01 06:00:00+00:00,mean(air_temperature P1M),12.3,degC,5.9758,60.859
SN51010,2015-07-01 06:00:00+00:00,mean(air_temperature P1M),13.3,degC,5.7243,60.5205
SN50175,2015-07-01 06:00:00+00:00,mean(air_temperature P1M),13.3,degC,5.2038,60.0167
SN50310,2015-07-01 06:00:00+00:00,mean(air_temperature P1M),11.4,degC,5.9636631,60.3889174
SN50500,2015-07-01 06:00:00+00:00,mean(air_temperature P1M),13.4,degC,5.2265,60.2892
SN50175,2015-08-01 06:00:00+00:00,mean(air_temperature P1M),15.9,degC,5.2038,60.0167
SN51010,2015-08-01 06:00:00+00:00,mean(air_temperature P1M),14.9,degC,5.7243,60.5205
SN52310,2015-08-01 06:00:00+00:00,mean(air_temperature P1M),13.4,degC,5.9758,60.859
SN50500,2015-08-01 06:00:00+00:00,mean(air_temperature P1M),15.6,degC,5.2265,60.2892
SN50310,2015-08-01 06:00:00+00:00,mean(air_temperature P1M),12.8,degC,5.9636631,60.3889174
SN50540,2015-08-01 06:00:00+00:00,mean(air_temperature P1M),16.4,degC,5.3327,60.383
SN52310,2015-09-01 06:00:00+00:00,mean(air_temperature P1M),11.0,degC,5.9758,60.859
SN50310,2015-09-01 06:00:00+00:00,mean(air_temperature P1M),10.2,degC,5.9636631,60.3889174
SN50500,2015-09-01 06:00:00+00:00,mean(air_temperature P1M),12.7,degC,5.2265,60.2892
SN51010,2015-09-01 06:00:00+00:00,mean(air_temperature P1M),12.4,degC,5.7243,60.5205
SN50540,2015-09-01 06:00:00+00:00,mean(air_temperature P1M),13.6,degC,5.3327,60.383
SN50175,2015-09-01 06:00:00+00:00,mean(air_temperature P1M),13.3,degC,5.2038,60.0167
SN52310,2015-10-01 00:00:00+00:00,mean(air_temperature P1M),7.1,degC,5.9758,60.859
SN50175,2015-10-01 06:00:00+00:00,mean(air_temperature P1M),10.3,degC,5.2038,60.0167
SN50540,2015-10-01 06:00:00+00:00,mean(air_temperature P1M),9.6,degC,5.3327,60.383
SN50500,2015-10-01 06:00:00+00:00,mean(air_temperature P1M),9.2,degC,5.2265,60.2892
SN50310,2015-10-01 06:00:00+00:00,mean(air_temperature P1M),6.0,degC,5.9636631,60.3889174
SN51010,2015-10-01 06:00:00+00:00,mean(air_temperature P1M),8.7,degC,5.7243,60.5205
SN50540,2015-11-01 06:00:00+00:00,mean(air_temperature P1M),7.0,degC,5.3327,60.383
SN52310,2015-11-01 06:00:00+00:00,mean(air_temperature P1M),4.0,degC,5.9758,60.859
SN50500,2015-11-01 06:00:00+00:00,mean(air_temperature P1M),6.6,degC,5.2265,60.2892
SN50310,2015-11-01 06:00:00+00:00,mean(air_temperature P1M),3.0,degC,5.9636631,60.3889174
SN51010,2015-11-01 06:00:00+00:00,mean(air_temperature P1M),6.6,degC,5.7243,60.5205
SN50175,2015-11-01 06:00:00+00:00,mean(air_temperature P1M),7.4,degC,5.2038,60.0167
SN50310,2015-12-01 06:00:00+00:00,mean(air_temperature P1M),1.3,degC,5.9636631,60.3889174
SN52310,2015-12-01 06:00:00+00:00,mean(air_temperature P1M),2.4,degC,5.9758,60.859
SN50540,2015-12-01 06:00:00+00:00,mean(air_temperature P1M),5.7,degC,5.3327,60.383
SN50175,2015-12-01 06:00:00+00:00,mean(air_temperature P1M),6.1,degC,5.2038,60.0167
SN51010,2015-12-01 06:00:00+00:00,mean(air_temperature P1M),4.9,degC,5.7243,60.5205
SN50500,2015-12-01 06:00:00+00:00,mean(air_temperature P1M),5.4,degC,5.2265,60.2892
SN52310,2016-01-01 06:00:00+00:00,mean(air_temperature P1M),-3.3,degC,5.9758,60.859
SN51010,2016-01-01 06:00:00+00:00,mean(air_temperature P1M),-0.4,degC,5.7243,60.5205
SN50310,2016-01-01 06:00:00+00:00,mean(air_temperature P1M),-4.2,degC,5.9636631,60.3889174
SN50540,2016-01-01 06:00:00+00:00,mean(air_temperature P1M),0.2,degC,5.3327,60.383
SN50500,2016-01-01 06:00:00+00:00,mean(air_temperature P1M),-0.1,degC,5.2265,60.2892
SN50175,2016-01-01 06:00:00+00:00,mean(air_temperature P1M),1.5,degC,5.2038,60.0167
SN52310,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),-1.0,degC,5.9758,60.859
SN50310,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),-2.9,degC,5.9636631,60.3889174
SN51010,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),1.1,degC,5.7243,60.5205
SN50540,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),2.0,degC,5.3327,60.383
SN50500,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),1.5,degC,5.2265,60.2892
SN50175,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),2.5,degC,5.2038,60.0167
SN52310,2016-03-01 06:00:00+00:00,mean(air_temperature P1M),1.4,degC,5.9758,60.859
SN50310,2016-03-01 06:00:00+00:00,mean(air_temperature P1M),0.6,degC,5.9636631,60.3889174
SN50175,2016-03-01 06:00:00+00:00,mean(air_temperature P1M),4.4,degC,5.2038,60.0167
SN51010,2016-03-01 06:00:00+00:00,mean(air_temperature P1M),3.9,degC,5.7243,60.5205
SN50540,2016-03-01 06:00:00+00:00,mean(air_temperature P1M),4.9,degC,5.3327,60.383
SN50500,2016-03-01 06:00:00+00:00,mean(air_temperature P1M),4.0,degC,5.2265,60.2892
SN50175,2016-04-01 06:00:00+00:00,mean(air_temperature P1M),5.6,degC,5.2038,60.0167
SN50540,2016-04-01 06:00:00+00:00,mean(air_temperature P1M),6.1,degC,5.3327,60.383
SN50310,2016-04-01 06:00:00+00:00,mean(air_temperature P1M),1.8,degC,5.9636631,60.3889174
SN52310,2016-04-01 06:00:00+00:00,mean(air_temperature P1M),3.3,degC,5.9758,60.859
SN50500,2016-04-01 06:00:00+00:00,mean(air_temperature P1M),5.2,degC,5.2265,60.2892
SN51010,2016-04-01 06:00:00+00:00,mean(air_temperature P1M),5.2,degC,5.7243,60.5205
SN51010,2016-05-01 06:00:00+00:00,mean(air_temperature P1M),11.2,degC,5.7243,60.5205
SN50540,2016-05-01 06:00:00+00:00,mean(air_temperature P1M),12.0,degC,5.3327,60.383
SN50175,2016-05-01 06:00:00+00:00,mean(air_temperature P1M),10.5,degC,5.2038,60.0167
SN50500,2016-05-01 06:00:00+00:00,mean(air_temperature P1M),10.7,degC,5.2265,60.2892
SN50310,2016-05-01 06:00:00+00:00,mean(air_temperature P1M),8.3,degC,5.9636631,60.3889174
SN52310,2016-05-01 06:00:00+00:00,mean(air_temperature P1M),9.4,degC,5.9758,60.859
SN52310,2016-06-01 06:00:00+00:00,mean(air_temperature P1M),13.7,degC,5.9758,60.859
SN50310,2016-06-01 06:00:00+00:00,mean(air_temperature P1M),13.0,degC,5.9636631,60.3889174
SN50500,2016-06-01 06:00:00+00:00,mean(air_temperature P1M),14.1,degC,5.2265,60.2892
SN50540,2016-06-01 06:00:00+00:00,mean(air_temperature P1M),15.4,degC,5.3327,60.383
SN51010,2016-06-01 06:00:00+00:00,mean(air_temperature P1M),14.9,degC,5.7243,60.5205
SN50175,2016-06-01 06:00:00+00:00,mean(air_temperature P1M),13.5,degC,5.2038,60.0167
