sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN27330,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),0.7,degC,10.2983,59.2938
SN27315,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),0.7,degC,10.2397,59.3808
SN27450,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),1.4,degC,10.345751,59.229738
SN27780,2015-01-01 06:00:00+00:00,mean(air_temperature P1M),2.0,degC,10.1250557,59.045747
SN27330,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),0.2,degC,10.2983,59.2938
SN27450,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),0.9,degC,10.345751,59.229738
SN27780,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),1.4,degC,10.1250557,59.045747
SN27315,2015-02-01 06:00:00+00:00,mean(air_temperature P1M),-0.1,degC,10.2397,59.3808
SN27450,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),3.4,degC,10.345751,59.229738
SN27780,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),3.4,degC,10.1250557,59.045747
SN27330,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),3.2,degC,10.2983,59.2938
SN27315,2015-03-01 06:00:00+00:00,mean(air_temperature P1M),3.2,degC,10.2397,59.3808
SN27315,2015-04-01 06:00:00+00:00,mean(air_temperature P1M),7.2,degC,10.2397,59.3808
SN27450,2015-04-01 06:00:00+00:00,mean(air_temperature P1M),7.2,degC,10.345751,59.229738
SN27780,2015-04-01 06:00:00+00:00,mean(air_temperature P1M),6.9,degC,10.1250557,59.045747
SN27330,2015-04-01 06:00:00+00:00,mean(air_temperature P1M),6.9,degC,10.2983,59.2938
SN27315,2015-05-01 06:00:00+00:00,mean(air_temperature P1M),8.8,degC,10.2397,59.3808
SN27780,2015-05-01 06:00:00+00:00,mean(air_temperature P1M),8.8,degC,10.1250557,59.045747
SN27330,2015-05-01 06:00:00+00:00,mean(air_temperature P1M),8.8,degC,10.2983,59.2938
SN27450,2015-05-01 06:00:00+00:00,mean(air_temperature P1M),9.1,degC,10.345751,59.229738
SN27160,2015-06-01 00:00:00+00:00,mean(air_temperature P1M),14.0,degC,10.4647,59.4198
SN27120,2015-06-01 00:00:00+00:00,mean(air_temperature P1M),13.6,degC,10.3847,59.4283
SN27450,2015-06-01 06:00:00+00:00,mean(air_temperature P1M),13.9,degC,10.345751,59.229738
SN27780,2015-06-01 06:00:00+00:00,mean(air_temperature P1M),13.2,degC,10.1250557,59.045747
SN27315,2015-06-01 06:00:00+00:00,mean(air_temperature P1M),13.6,degC,10.2397,59.3808
SN27330,2015-06-01 06:00:00+00:00,mean(air_temperature P1M),13.6,degC,10.2983,59.2938
SN27330,2015-07-01 06:00:00+00:00,mean(air_temperature P1M),15.7,degC,10.2983,59.2938
SN27160,2015-07-01 06:00:00+00:00,mean(air_temperature P1M),15.8,degC,10.4647,59.4198
SN27450,2015-07-01 06:00:00+00:00,mean(air_temperature P1M),15.9,degC,10.345751,59.229738
SN27120,2015-07-01 06:00:00+00:00,mean(air_temperature P1M),15.5,degC,10.3847,59.4283
SN27780,2015-07-01 06:00:00+00:00,mean(air_temperature P1M),15.9,degC,10.1250557,59.045747
SN27315,2015-07-01 06:00:00+00:00,mean(air_temperature P1M),15.6,degC,10.2397,59.3808
SN27780,2015-08-01 00:00:00+00:00,mean(air_temperature P1M),16.7,degC,10.1250557,59.045747
SN27120,2015-08-01 06:00:00+00:00,mean(air_temperature P1M),15.3,degC,10.3847,59.4283
SN27160,2015-08-01 06:00:00+00:00,mean(air_temperature P1M),16.4,degC,10.4647,59.4198
SN27450,2015-08-01 06:00:00+00:00,mean(air_temperature P1M),16.1,degC,10.345751,59.229738
SN27315,2015-08-01 06:00:00+00:00,mean(air_temperature P1M),15.4,degC,10.2397,59.3808
SN27330,2015-08-01 06:00:00+00:00,mean(air_temperature P1M),15.5,degC,10.2983,59.2938
SN27450,2015-09-01 06:00:00+00:00,mean(air_temperature P1M),12.7,degC,10.345751,59.229738
SN27315,2015-09-01 06:00:00+00:00,mean(air_temperature P1M),12.1,degC,10.2397,59.3808
SN27330,2015-09-01 06:00:00+00:00,mean(air_temperature P1M),12.2,degC,10.2983,59.2938
SN27780,2015-09-01 06:00:00+00:00,mean(air_temperature P1M),13.1,degC,10.1250557,59.045747
SN27160,2015-09-01 06:00:00+00:00,mean(air_temperature P1M),12.8,degC,10.4647,59.4198
SN27120,2015-09-01 06:00:00+00:00,mean(air_temperature P1M),12.0,degC,10.3847,59.4283
SN27450,2015-10-01 06:00:00+00:00,mean(air_temperature P1M),7.7,degC,10.345751,59.229738
SN27780,2015-10-01 06:00:00+00:00,mean(air_temperature P1M),8.1,degC,10.1250557,59.045747
SN27315,2015-10-01 06:00:00+00:00,mean(air_temperature P1M),7.1,degC,10.2397,59.3808
SN27120,2015-10-01 06:00:00+00:00,mean(air_temperature P1M),7.0,degC,10.3847,59.4283
SN27160,2015-10-01 06:00:00+00:00,mean(air_temperature P1M),7.9,degC,10.4647,59.4198
SN27330,2015-10-01 06:00:00+00:00,mean(air_temperature P1M),7.1,degC,10.2983,59.2938
SN27450,2015-11-01 00:00:00+00:00,mean(air_temperature P1M),4.2,degC,10.345751,59.229738
SN27160,2015-11-01 06:00:00+00:00,mean(air_temperature P1M),4.4,degC,10.4647,59.4198
SN27315,2015-11-01 06:00:00+00:00,mean(air_temperature P1M),3.2,degC,10.2397,59.3808
SN27780,2015-11-01 06:00:00+00:00,mean(air_temperature P1M),5.0,degC,10.1250557,59.045747
SN27120,2015-11-01 06:00:00+00:00,mean(air_temperature P1M),3.6,degC,10.3847,59.4283
SN27330,2015-11-01 06:00:00+00:00,mean(air_temperature P1M),3.3,degC,10.2983,59.2938
SN27780,2015-12-01 06:00:00+00:00,mean(air_temperature P1M),4.0,degC,10.1250557,59.045747
SN27120,2015-12-01 06:00:00+00:00,mean(air_temperature P1M),2.5,degC,10.3847,59.4283
SN27450,2015-12-01 06:00:00+00:00,mean(air_temperature P1M),3.3,degC,10.345751,59.229738
SN27160,2015-12-01 06:00:00+00:00,mean(air_temperature P1M),3.3,degC,10.4647,59.4198
SN27315,2015-12-01 06:00:00+00:00,mean(air_temperature P1M),2.1,degC,10.2397,59.3808
SN27330,2015-12-01 06:00:00+00:00,mean(air_temperature P1M),2.4,degC,10.2983,59.2938
SN27403,2016-01-01 00:00:00+00:00,mean(air_temperature P1M),-4.7,degC,10.45442,59.2084
SN27406,2016-01-01 00:00:00+00:00,mean(air_temperature P1M),-4.3,degC,10.4238,59.169
SN27433,2016-01-01 00:00:00+00:00,mean(air_temperature P1M),-4.8,degC,10.3655,59.1745
SN27400,2016-01-01 00:00:00+00:00,mean(air_temperature P1M),-4.8,degC,10.45604,59.23662
SN27435,2016-01-01 00:00:00+00:00,mean(air_temperature P1M),-5.2,degC,10.4023,59.2417
SN27450,2016-01-01 06:00:00+00:00,mean(air_temperature P1M),-5.5,degC,10.345751,59.229738
SN27460,2016-01-01 06:00:00+00:00,mean(air_temperature P1M),-6.1,degC,10.4103,59.2173
SN27120,2016-01-01 06:00:00+00:00,mean(air_temperature P1M),-5.9,degC,10.3847,59.4283
SN27780,2016-01-01 06:00:00+00:00,mean(air_temperature P1M),-4.4,degC,10.1250557,59.045747
SN27315,2016-01-01 06:00:00+00:00,mean(air_temperature P1M),-7.1,degC,10.2397,59.3808
SN27160,2016-01-01 06:00:00+00:00,mean(air_temperature P1M),-4.6,degC,10.4647,59.4198
SN27330,2016-01-01 06:00:00+00:00,mean(air_temperature P1M),-6.1,degC,10.2983,59.2938
SN27330,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),-0.6,degC,10.2983,59.2938
SN27400,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),0.3,degC,10.45604,59.23662
SN27315,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),-1.2,degC,10.2397,59.3808
SN27780,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),0.6,degC,10.1250557,59.045747
SN27433,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),0.2,degC,10.3655,59.1745
SN27406,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),0.4,degC,10.4238,59.169
SN27435,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),-0.1,degC,10.4023,59.2417
SN27403,2016-02-01 06:00:00+00:00,mean(air_temperature P1M),0.4,degC,10.45442,59.2084
